label,text
1,"Dear Customer, URGENT: Your PayPal account has been suspended due to unusual activity. Please verify your account immediately by clicking here: http://paypal-verify.tk/login or it will expire within 24 hours. Failure to respond will result in permanent account closure."
1,"WARNING: Your Microsoft account will be suspended! We detected unauthorized login attempts from foreign IP addresses. Confirm your password now at http://microsoft-secure.xyz/verify to prevent account lockout. Act immediately!"
1,"Dear user, your Amazon account requires immediate verification. Click <a href=""http://amaz0n-account.ml/verify"">amazon.com</a> within 12 hours to avoid account suspension. Update your payment information now!"
1,"URGENT NOTIFICATION FROM ATO: You are owed a tax refund of $2,847.00. Click here to claim your refund immediately: http://ato-refund.gq/claim Time limited offer — expires today!"
1,"Dear Valued Customer, We noticed unusual activity on your bank account. Please verify your identity by providing your credit card number and SSN at http://bit.ly/verify-now or your account will be frozen."
1,"Hello, your package from DHL could not be delivered. Please update your address and pay the redelivery fee of $3.99 at http://dhl-tracking.cf/redeliver otherwise your parcel will be returned to sender."
1,"IMPORTANT: Your Netflix subscription payment failed. Update your billing information immediately to avoid service interruption: http://netflix-billing.top/update Final notice!"
1,"Dear member, your Apple ID was used to sign in from an unrecognized device in Russia. If this wasn't you, secure your account now: http://apple-id-secure.click/login Action required within 24 hours."
1,"Congratulations! You've won a $1000 Amazon gift card. Click here to claim your prize immediately: http://gift-card-winner.tk/claim Only 50 winners — don't miss out!"
1,"Dear Customer, your Google account storage is full. Upgrade now or lose your data at http://google-storage.ml/upgrade URGENT — data deletion scheduled in 48 hours!"
1,"ALERT: Suspicious login detected on your LinkedIn account. Confirm your credentials at http://linkedin-secure.xyz/login to prevent account takeover. Respond immediately."
1,"Dear Account Holder, your Wells Fargo account has been locked due to security concerns. Please verify your information at http://wells-fargo-secure.gq/unlock to restore access. Urgent action required."
1,"From: IT Support. Your email storage quota is 99% full. Click here to increase storage: http://bit.ly/email-upgrade Failure to act will result in message loss. Act now!"
1,"URGENT: COVID-19 stimulus payment of $1,400 is waiting. Claim at http://gov-stimulus.tk/claim Limited time — expires in 24 hours. Provide SSN and bank details to receive payment."
1,"Hi, I'm from the finance department. We need you to process an urgent wire transfer of $8,500 to this account. Please confirm you received this and reply immediately. Do not discuss with others."
1,"Your Facebook account has been reported for policy violations. To prevent permanent suspension, verify your identity here: http://facebook-appeal.ml/verify within 24 hours."
